                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94251,                0.61457,                0.93342,                0.93485,                0.86677,                 0.9436,                0.67835,                0.96876,                0.68029,                0.94981,              0.0096733,              0.0096733,              0.0096733
                     35,                 0.9382,                0.61793,                0.93758,                0.86297,                0.89175,                0.92737,                0.66513,                 1.0406,                0.73341,                 1.0003,              0.0096634,              0.0096634,              0.0096634
                     36,                0.93289,                0.60733,                0.93167,                0.94133,                0.89561,                0.95059,                0.69433,                0.94687,                0.66141,                0.95207,              0.0096535,              0.0096535,              0.0096535
                     37,                 0.9306,                0.60543,                0.93049,                0.92331,                0.90791,                0.94865,                0.69866,                0.94579,                0.64948,                0.95448,              0.0096436,              0.0096436,              0.0096436
                     38,                0.94048,                0.60288,                0.92947,                 0.9002,                0.89257,                0.94764,                0.68957,                0.96777,                0.67055,                0.97091,              0.0096337,              0.0096337,              0.0096337
                     39,                0.93477,                0.59111,                0.93553,                0.93374,                0.90062,                0.95847,                0.71826,                0.92964,                0.64821,                 0.9394,              0.0096238,              0.0096238,              0.0096238
                     40,                0.92407,                0.58139,                0.92856,                0.94144,                0.91683,                0.94925,                0.70441,                0.94907,                0.62237,                0.94374,              0.0096139,              0.0096139,              0.0096139
                     41,                0.93144,                0.59547,                0.93642,                0.90305,                0.90061,                0.93644,                 0.6866,                0.95827,                0.65534,                0.95299,               0.009604,               0.009604,               0.009604
                     42,                0.91937,                0.58483,                0.92587,                0.93413,                0.92484,                0.96019,                0.71688,                0.91427,                 0.6147,                0.93586,              0.0095941,              0.0095941,              0.0095941
                     43,                0.90936,                0.57337,                0.93234,                0.91852,                0.90865,                0.94846,                0.69872,                0.93979,                 0.6763,                0.94641,              0.0095842,              0.0095842,              0.0095842
                     44,                 0.9178,                0.57693,                0.92891,                0.94119,                0.90036,                0.95532,                0.71378,                0.91399,                0.61406,                0.95053,              0.0095743,              0.0095743,              0.0095743
                     45,                0.91535,                0.57211,                0.92744,                0.92667,                0.92759,                0.95128,                0.69345,                 0.9438,                0.62556,                 0.9503,              0.0095644,              0.0095644,              0.0095644
                     46,                0.91413,                0.56072,                0.92514,                0.89866,                0.91202,                0.94435,                 0.6912,                0.96036,                0.65043,                0.95492,              0.0095545,              0.0095545,              0.0095545
                     47,                0.91049,                0.56603,                0.92568,                0.94506,                0.90931,                0.95978,                0.70151,                 0.9703,                0.65454,                0.96265,              0.0095446,              0.0095446,              0.0095446
                     48,                0.90481,                 0.5618,                0.93113,                0.89513,                0.89326,                0.92364,                0.67833,                0.97228,                0.65471,                0.97208,              0.0095347,              0.0095347,              0.0095347
                     49,                  0.898,                0.56375,                0.92519,                0.92082,                0.90499,                0.95402,                0.68702,                0.97284,                0.64212,                0.95538,              0.0095248,              0.0095248,              0.0095248
                     50,                0.90398,                0.56848,                0.92454,                0.91145,                0.84708,                0.94696,                 0.7033,                0.93666,                0.66692,                0.94427,              0.0095149,              0.0095149,              0.0095149
                     51,                 0.8949,                0.56439,                0.92128,                0.92137,                0.89263,                0.93282,                0.68824,                0.93033,                0.63861,                0.93484,               0.009505,               0.009505,               0.009505
                     52,                0.90655,                0.56775,                0.92214,                0.93487,                0.91894,                0.96173,                 0.7012,                0.94546,                0.59585,                0.95435,              0.0094951,              0.0094951,              0.0094951
                     53,                0.89123,                0.55974,                0.91967,                0.92241,                 0.8803,                0.94762,                0.70105,                0.96271,                0.64009,                0.95657,              0.0094852,              0.0094852,              0.0094852
                     54,                0.91723,                0.56211,                 0.9192,                0.91418,                0.93037,                0.95909,                 0.7057,                0.93063,                0.59909,                0.94514,              0.0094753,              0.0094753,              0.0094753
                     55,                 0.8835,                0.54685,                0.92075,                0.94238,                0.93409,                0.96013,                0.70414,                0.93629,                0.59632,                 0.9468,              0.0094654,              0.0094654,              0.0094654
                     56,                 0.8686,                0.55702,                 0.9168,                0.93666,                0.89967,                0.95077,                0.69562,                0.94799,                0.59933,                0.95977,              0.0094555,              0.0094555,              0.0094555
